Name,type,RAM,CPU,GPU,ScreenSize,Resoloution,Storage,OS,price
ASUS,Notebook,16GB,AMD Ryzen 9 8945HS,AMD XDNA,15.6 Inch,1920x1080,512GB SSD,Windows, 67099.00
Lenovo,Notebook,16GB,Intel Core i7 1365,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 67099.00
HP,Notebook,16GB,Intel Core i7 1370,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 67799.00
HP,Notebook,16GB,Intel Core i7 1370,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 67799.00
HP,Notebook,16GB,Intel Core i7 1370,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 67799.00
HP,Notebook,16GB,Intel Core i7 1370,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 67799.00
HP,Notebook,16GB,Intel Core i7 1370,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 67799.00
Lenovo,Notebook,8GB,Intel Core  i7 1355U,NVIDIA  MX550,14 Inch,1920x1080,512GB SSD,Dos, 66999.00
Lenovo,Notebook,8GB,Intel Core i7 1355U,NVIDIA  MX550,16 Inch,1920x1080,512GB SSD,Dos, 66999.00
HP,Notebook,16GB,Intel Core i7 1250U,Intel Iris Xe,13 inch,1920x1080,1TB SSD,Windows, 70099.00
Lenovo,Notebook,16GB,Intel Core i7 1362H,NVIDIA  RTX 4060,15.6 Inch,1920x1080,512GB SSD,Dos, 70199.00
HP,Notebook,16GB,Intel Core i7 1370H,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 70399.00
ASUS,Notebook,16GB,Intel Core Ultra 7 155U,Intel Iris Xe,13 inch,1920x1080,1TB SSD,Windows, 70799.00
ASUS,Notebook,16GB,Intel Core i9 1390,Intel Iris Xe,14 inch,2560x1600,512GB SSD,Windows, 71099.00
HP,Notebook,8GB,Intel Core i7 1165G,Intel Iris Xe,14 inch,2560x1600,512GB SSD,Windows, 72999.00
DELL,Notebook,8GB,Intel Core i7 1355U,Intel UHD,14 inch,1920x1080,512GB SSD,Dos, 69999.00
HP,Notebook,16GB,Intel Core i7 1370,NVIDIA  RTX 4050,16 Inch,1920x1080,1TB SSD,Dos, 77299.00
HP,Notebook,16GB,Intel Core i7 1370,NVIDIA  RTX 4050,16 Inch,1920x1080,1TB SSD,Dos, 77299.00
DELL,Notebook,8GB,Intel Core i7 1370P,Intel UHD,15.6 Inch,1920x1080,1TB SSD,Dos, 71999.00
ASUS,Gaming,16GB,AMD Ryzen 7 7735HS,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Windows, 84499.00
ASUS,Gaming,16GB,AMD Ryzen 7 7735HS,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Windows, 81799.00
Apple,Ultrabook,8GB,M3,8 core,13 inch,2560x1600,256GB SSD,Mac, 82299.00
DELL,Notebook,16GB,Intel Core i7 1365,NVIDIA  RTX 4060,15.6 Inch,1920x1080,1TB SSD,Dos, 88499.00
Lenovo,Notebook,16GB,Intel Core i9 1390,NVIDIA RTX 4050,16 Inch,1920x1080,512GB SSD,Dos, 89499.00
HP,Notebook,16GB,Intel Core i7 1370,NVIDIA  RTX 4060,16 Inch,1920x1080,1TB SSD,Windows, 89499.00
ASUS,Notebook,16GB,Intel Ultra 9 185H,Intel Arc,14 inch,1920x1080,1TB SSD,Windows, 90499.00
ASUS,Notebook,32GB,Snapdragon X Elite X1E,Qualcomm Adreno,15.6 Inch,1920x1080,1TB SSD,Windows, 81699.00
ASUS,Gaming,16GB,Intel Core i7 1362,NVIDIA  RTX 4070,15.6 Inch,1920x1080,1TB SSD,Windows, 91499.00
